Event,Gender,#,Time,Name,Nationality,Date,Meet,Location
400m,Men,-,4:25.9,Murray Rose,Australia,1957-01-12,NSW Championships,"Sydney, Australia"
400m,Men,23,4:27.0,Murray Rose,Australia,1956-10-27,Australian Championships,"Melbourne, Australia"
400m,Men,24,4:25.9,John Konrads,Australia,1958-01-15,NSW Championships,"Sydney, Australia"
400m,Men,25,4:21.8,John Konrads,Australia,1959-01-12,Australian Championships,"Melbourne, Australia"
400m,Men,26,4:19.0,John Konrads,Australia,1959-02-07,International Swim Meet,"Sydney, Australia"
400m,Men,27,4:16.6,Tsuyoshi Yamanaka,Japan,1959-07-26,Japan-USA Water Competition,"Osaka, Japan"
400m,Men,28,4:15.9,John Konrads,Australia,1960-02-23,Australian Championships,"Sydney, Australia"
400m,Men,29,4:13.4,Murray Rose,Australia,1962-08-17,International Invitational,"Chicago, United States"
400m,Men,30,4:12.7,Don Schollander,United States,1964-07-31,US National Championships,"Los Altos, United States"
400m,Men,31,4:12.2,Don Schollander,United States,1964-10-15,Olympic Games,"Tokyo, Japan"
400m,Men,32,4:11.8,John Nelson,United States,1966-08-18,US National Championships,"Lincoln, United States"
400m,Men,33,4:11.6,Don Schollander,United States,1966-08-18,US National Championships,"Lincoln, United States"
400m,Men,34,4:11.1,Frank Wiegand,East Germany,1966-08-25,European Championships,"Utrecht, Netherlands"
400m,Men,35,4:10.6,Mark Spitz,United States,1967-06-25,Local Event,"Haywood, United States"
400m,Men,35,4:10.6,Alain Mosconi,France,1967-07-02,Local Event,"Monte Carlo, Monaco"
400m,Men,37,4:09.2,Alain Mosconi,France,1967-07-04,Local Event,"Monte Carlo, Monaco"
400m,Men,38,4:08.8,Mark Spitz,United States,1967-07-07,Santa Clara International,"Santa Clara, United States"
400m,Men,39,4:08.2,Greg Charlton,United States,1967-08-28,Summer Universiade,"Tokyo, Japan"
400m,Men,40,4:07.7,Mark Spitz,United States,1968-06-23,Annual Swimming Relays,"Haywood, United States"
400m,Men,41,4:06.5,Ralph Hutton,Canada,1968-08-01,US National Championships,"Lincoln, United States"
400m,Men,42,4:04.0,Hans-Joachim Fassnacht,West Germany,1969-08-14,US National Championships,"Louisville, United States"
